Date,Auto,Consumer,Oil & Gas (Energy),FMCG,IT,Media,Metal,Healthcare (Pharma),Realty,Finance,Benchmark
2015-09-10,7875.85009765625,3344.050048828125,7536.85009765625,19306.75,11396.9501953125,2333.699951171875,1794.550048828125,12315.0,163.4499969482422,16597.45703125,7788.10009765625
2015-09-11,7857.4501953125,3353.550048828125,7511.39990234375,19412.05078125,11432.25,2341.14990234375,1767.3499755859375,12341.849609375,165.10000610351562,16612.40625,7789.2998046875
2015-09-14,7890.75,3380.449951171875,7615.39990234375,19496.80078125,11520.2998046875,2355.699951171875,1814.800048828125,12495.2001953125,168.39999389648438,16911.603515625,7872.25
2015-09-15,7766.2001953125,3372.550048828125,7633.60009765625,19681.94921875,11536.349609375,2348.699951171875,1772.0999755859375,12478.7998046875,167.60000610351562,16739.35546875,7829.10009765625
2015-09-16,7799.10009765625,3388.050048828125,7667.10009765625,19727.099609375,11536.349609375,2350.85009765625,1779.300048828125,12623.7998046875,167.14999389648438,16739.35546875,7899.14990234375
2015-09-18,7842.5498046875,3394.89990234375,7805.0,19497.5,11726.7001953125,2372.300048828125,1789.300048828125,12751.2001953125,171.10000610351562,17408.947265625,7981.89990234375
2015-09-21,7848.75,3386.0,7756.10009765625,19353.849609375,11724.0498046875,2392.5,1787.3499755859375,12706.2998046875,171.85000610351562,17542.697265625,7977.10009765625
2015-09-22,7709.85009765625,3346.449951171875,7543.7998046875,19180.099609375,11705.5498046875,2345.550048828125,1711.699951171875,12662.7998046875,167.64999389648438,17030.953125,7812.0
2015-09-23,7705.5498046875,3346.699951171875,7571.4501953125,19259.599609375,11694.0,2349.60009765625,1713.1500244140625,12731.5498046875,169.0500030517578,17255.099609375,7845.9501953125
2015-09-24,7721.25,3373.35009765625,7491.10009765625,19485.0,11694.0,2392.25,1684.800048828125,12826.4501953125,169.8000030517578,17255.099609375,7868.5
2015-09-28,7584.25,3358.0,7473.64990234375,19421.94921875,11841.0498046875,2335.75,1642.5999755859375,12844.2001953125,171.85000610351562,17100.1015625,7795.7001953125
